PRODUTO,VALOR,LINK DO PRODUTO NO SITE,Quantidade Eventos,DATAS,,
"Altiplano Boliviano – Montanhas de La Paz, Lago Titicaca, Salar de Uyuni e Atacama – 10 Dias","R$ 8.890,00",https://roctrip.com.br/roteiros/bolivia-altiplano-completo/,1,26/12/2026,,
"Altiplano Boliviano – Montanhas de La Paz, Salar de Uyuni e Atacama – 08 Dias (carnaval)","R$ 7.990,01",https://roctrip.com.br/roteiros/bolivia-altiplano-carnaval/,0, ,,
Bonito - Bonito/MS - 05 dias,"R$ 5.790,00",https://roctrip.com.br/roteiros/mato-grosso-do-sul-bonito/,3,17/04/2026,08/07/2026,29/10/2026
Cavernas do PETAR – Apiaí e Iporanga/SP - 03 dias,"R$ 1.990,00",https://roctrip.com.br/roteiros/sao-paulo-cavernas-do-petar/,2,03/04/2026,31/10/2026,
Chapada das Mesas - Carolina/MA - 04 dias,"R$ 3.390,00",https://roctrip.com.br/roteiros/maranhao-chapada-das-mesas/,1,09/07/2026,,
Chapada Diamantina – Lençois/BA - 08 dias,"R$ 4.990,00",https://roctrip.com.br/roteiros/bahia-chapada-diamantina/,1,14/04/2026,,
Chapada dos Veadeiros – Alto Paraíso/GO - 05 dias,"R$ 4.190,00",https://roctrip.com.br/roteiros/goias-chapada-dos-veadeiros/,2,13/02/2026,08/10/2026,
Cinque Terre – Liguria – Itália – 06 dias,"R$ 9.900,00",https://roctrip.com.br/roteiros/cinque-terre-liguria-italia-06-dias/,0, ,02/06/2026,
Complexo do Baú - São Bento do Sapucaí/SP - 01 dia,"R$ 450,00",https://roctrip.com.br/roteiros/sao-paulo-complexo-do-bau-e-pedra-da-balanca/,2,14/03/2026,25/04/2026,
Curso Básico de Escalada em Rocha – Itatiba/SP - 03 dias,"R$ 1.350,00",https://roctrip.com.br/roteiros/sao-paulo-curso-basico-de-escalada-em-rocha/,2,06/03/2026,22/05/2026,
Curso de Primeiros Socorros em Áreas Remotas - WFA - 03 Dias,"R$ 1.990,00",https://roctrip.com.br/roteiros/primeiros-socorros-wfa/,0, ,,
Dolomitas Trek - Cortina d'Ampezzo/Ita - 08 dias,"R$ 15.490,00",https://roctrip.com.br/roteiros/dolomitas-trek-cortina-dampezzo-italia-08-dias/,1,10/06/2026,,
Experiência de Escalada em Rocha - 01 dia,"R$ 345,00",https://roctrip.com.br/roteiros/sao-paulo-experiencia-de-escalada-em-rocha/,2,28/03/2026,09/05/2026,
Experiência de Escalada em Rocha - Guarujá/SP - 02 dias,"R$ 890,00",https://roctrip.com.br/roteiros/experiencia-de-escalada-em-rocha-guaruja-02-dias/,1,31/01/2026,,
Ilha Grande – Angra dos Reis/RJ - 04 Dias,"R$ 2.790,00",https://roctrip.com.br/roteiros/rio-de-janeiro-ilha-grande/,1,30/04/2026,,
Jalapão – Palmas/TO - 07 dias,"R$ 4.990,00",https://roctrip.com.br/roteiros/tocantins-jalapao/,0, ,,
Lençóis Maranhenses - Barreirinhas/MA - 05 Dias,"R$ 4.490,00",https://roctrip.com.br/roteiros/lencois-maranhenses-barreirinhas-ma-05-dias/,1,03/06/2026,,
Monte Roraima - Boa Vista/RR - 10 Dias,"R$ 6.990,00",https://roctrip.com.br/roteiros/monte-roraima-boa-vista-ro-10-dias/,1,26/12/2026,,
NORUEGA - FIORDES E MONTANHAS - 08 DIAS - OSLO/NOR,"R$ 23.900,00",https://roctrip.com.br/roteiros/noruega-fiordes-e-montanhas-08-dias-oslo-nor/,1,20/08/2026,,
Parque Indígena do Xingu - Aldeia Kamaiurá - Canarana/MT - 8 Dias,"R$ 9.990,00",https://roctrip.com.br/roteiros/parque-indigena-do-xingu-aldeia-kamaiura-canarana-mt-8-dias/,1,12/04/2026,,
Patagônia Argentina – El Calafate e El Chalten - 07 dias,"R$ 9.900,00",https://roctrip.com.br/roteiros/argentina-el-chaten-patagonia/,1,26/12/2026,,
Patagônia Chilena - Isla Navarino - 06 dias,"R$ 7.990,01",https://roctrip.com.br/roteiros/chile-patagonia-chilena-isla-navarino/,1,13/02/2026,,
Patagônia Chilena - W Circuit - 07 dias,"R$ 13.490,00",https://roctrip.com.br/roteiros/chile-circuito-w-p-n-torres-del-paine-patagonia/,1,26/12/2026,,
Pedra da Gávea + Costão do Pão de Açúcar – Rio de Janeiro/RJ - 02 Dias,"R$ 1.190,00",https://roctrip.com.br/roteiros/rio-de-janeiro-pedra-da-gavea-e-pao-de-acucar/,1,03/04/2026,,
Pico das Agulhas Negras + Maciço das Prateleiras – PNI/RJ - 02 Dias,"R$ 1.150,00",https://roctrip.com.br/roteiros/parque-nacional-do-itatiaia-trekking-agulhas-negras-e-prateleiras/,1,16/05/2026,,
Pico do Corcovado - Ubatuba - Núcleo Santa Virgínia - 02 dias,"R$ 629,00",https://roctrip.com.br/roteiros/sao-paulo-trilha-do-pico-do-corcovado/,0, ,,
Pico do Itaguaré - Marmelópolis/MG - 02 dias,"R$ 750,00",https://roctrip.com.br/roteiros/pico-do-itaguare/,0, ,,
Pico dos Marins – Piquete/SP - 02 dias,"R$ 750,00",https://roctrip.com.br/roteiros/sao-paulo-pico-dos-marins/,1,21/03/2026,,
Pucon - Chile - 06 dias,"R$ 8.890,00",https://roctrip.com.br/roteiros/chile-pucon/,2,02/09/2026,27/12/2026,
Ring Road Islândia – REYKJAVIK/ISL - 11 dias,"R$ 24.990,00",https://roctrip.com.br/roteiros/ring-road-islandia-reykjavik-isl-11-dias/,1,02/06/2026,,
Salkantay Trek – Cusco/Pe - 08 dias,"R$ 10.990,00",https://roctrip.com.br/roteiros/peru-salkantay-trek/,2,14/04/2026,03/06/2026,
Serra do Lopo - Extrema/MG - 01 dia,"R$ 350,01",https://roctrip.com.br/roteiros/minas-gerais-serra-do-lopo/,2,15/03/2026,10/05/2026,
"Tour du Mont Blanc (TMB) - França, Itália e Suíça - 12 dias","R$ 20.490,01",https://roctrip.com.br/roteiros/tour-du-mont-blanc-tmb-chamonix-fra-12-dias/,1,20/06/2026,,
Travessia Baependi x Aiuruoca - Baependi/Mg - 05 Dias,"R$ 1.590,00",https://roctrip.com.br/roteiros/minas-gerais-travessia-baependi-x-aiuruoca/,2,04/06/2026,09/10/2026,
Travessia Castelhanos X Bonete – Ilhabela/SP - 02 dias,"R$ 1.190,00",https://roctrip.com.br/roteiros/sao-paulo-travessia-castelhanos-bonete/,0, ,,
Travessia Castelhanos X Bonete X Sepituba – Ilhabela/SP - 02 dias,"R$ 1.150,00",https://roctrip.com.br/roteiros/sao-paulo-travessia-sepituba-x-bonete-x-castelhanos/,1,20/11/2026,,
Travessia Couto x Prateleiras + Pedra do Sino - PNI/RJ - 02 Dias,"R$ 1.150,00",https://roctrip.com.br/roteiros/parque-nacional-do-itatiaia-travessia-couto-prateleiras-experiencia-de-escalada-em-rocha/,0, ,,
Travessia da Ponta da Juatinga - Paraty/RJ - 03 dias,"R$ 1.850,00",https://roctrip.com.br/roteiros/rio-de-janeiro-ponta-da-juatinga/,3,03/04/2026,01/05/2026,10/10/2026
Travessia da Serra dos Orgãos - Teresópolis/RJ - 03 Dias,"R$ 1.650,00",https://roctrip.com.br/roteiros/rio-de-janeiro-travessia-da-serra-dos-orgaos/,1,09/07/2026,,
Travessia da Serra Fina – Itamonte/MG - 04 dias,"R$ 2.850,01",https://roctrip.com.br/roteiros/minas-gerais-travessia-serra-fina/,2,09/07/2026,04/09/2026,
Travessia da Serra Negra – PNI/RJ - 02 dias,"R$ 1.390,00",https://roctrip.com.br/roteiros/travessia-serra-negra/,0, ,,
Travessia da Trilha do Ouro - São José do Barreiro/SP - 03 dias,"R$ 1.890,00",https://roctrip.com.br/roteiros/sao-paulo-trilha-do-ouro/,3,01/05/2026,10/10/2026,20/11/2026
Travessia do Rancho Caído - Parque Nacional do Itatiaia/RJ - 02 dias,"R$ 1.190,00",https://roctrip.com.br/roteiros/pni-travessia-rancho-caido/,0, ,,
Travessia dos 4 Refúgios - Bariloche/Arg - 06 dias,"R$ 7.490,00",https://roctrip.com.br/roteiros/argentina-travessia-dos-04-refugios-06-dias-bariloche/,1,13/02/2026,,
Travessia dos Lençóis Maranhenses - São Luis e Barreirinhas/MA - 05 dias,"R$ 3.790,00",https://roctrip.com.br/roteiros/maranhao-travessia-lencois-maranhenses/,3,29/04/2026,08/07/2026,03/09/2026
Travessia Lapinha x Tabuleiro - Santana do Riacho/MG - 03 dias,"R$ 1.990,00",https://roctrip.com.br/roteiros/minas-gerais-travessia-lapinha-x-tabuleiro/,1,20/11/2026,,
Travessia Marins X Itaguaré - Piquete/SP - 03 dias,"R$ 1.050,00",https://roctrip.com.br/roteiros/minas-gerais-travessia-marins-itaguare/,1,01/05/2026,,
Travessia Ruy Braga – Parque Nacional do Itatiaia/RJ - 02 dias,"R$ 1.090,00",https://roctrip.com.br/roteiros/pni-travessia-ruy-braga/,0, ,,
Trilha das Sete Praias + Experiência de Escalada - Ubatuba/SP - 02 dias,"R$ 950,00",https://roctrip.com.br/roteiros/sao-paulo-travessia-do-saco-das-bananas-02-dias-ubatuba-sp/,0, ,,
Trilha do Bonete – Ilhabela - 02 dias,"R$ 1.038,01",https://roctrip.com.br/roteiros/sao-paulo-trilha-do-bonete/,1,28/02/2026,,
Vale do Pati - Lençóis - 05 dias,"R$ 3.290,00",https://roctrip.com.br/roteiros/vale-do-pati/,0, ,,
